,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep
09:14,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
09:15,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
09:16,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
09:17,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
09:18,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
09:19,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
09:20,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
09:21,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462
09:22,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
09:23,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
09:24,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
09:25,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
09:26,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
09:27,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
09:28,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
09:29,932,932,932,932,932,932,932,932,932,932,932,932,932,932,932
09:30,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059,11059
09:31,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458
09:32,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621,4621
09:33,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125
09:34,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384
09:35,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169,6169
09:36,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762,4762
09:37,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089,4089
09:38,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213
09:39,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440
09:40,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068,4068
09:41,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491
09:42,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823,3823
09:43,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641,3641
09:44,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453,3453
09:45,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265,3265
09:46,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462,3462
09:47,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064,3064
09:48,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855,3855
09:49,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965
09:50,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037,4037
